street,suburb,government_area,market,country,country_code,type,Latitude,Longitude,is_location_exact
Montréal,Old Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.5049,-73.55844,True
Porto,Porto,Ramalde,Porto,Portugal,PT,Point,41.17677,-8.63873,True
Barcelona,Sant Gervasi - Galvany,Sant Gervasi - Galvany,Barcelona,Spain,ES,Point,41.39453,2.14824,True
Pāhoa,Island of Hawaiʻi,Puna,The Big Island,United States,US,Point,19.39931,-154.9245,True
Potts Point,Potts Point,Sydney,Sydney,Australia,AU,Point,-33.8723,151.22554,True
Montreal,Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.49387,-73.57561,True
Sisli,Şişli,Sisli,Istanbul,Turkey,TR,Point,41.06308,28.98395,False
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.14498,-8.61651,True
Haleiwa,Oʻahu,North Shore Oahu,Oahu,United States,US,Point,21.66414,-158.05107,True
L'Hospitalet de Llobregat,Sants-Montjuïc,Sants - Badal,Barcelona,Spain,ES,Point,41.3748,2.12422,True
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,Point,41.07186,28.99531,False
Barcelona,Dreta de l'Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.39078,2.16236,True
Potts Point,Potts Point,Sydney,Sydney,Australia,AU,Point,-33.86858,151.22606,True
Brooklyn,Brooklyn,Crown Heights,New York,United States,US,Point,40.67689,-73.94884,True
New York,Kips Bay,Kips Bay,New York,United States,US,Point,40.74086,-73.9803,True
Waianae,Waianae Coast,Waianae,Oahu,United States,US,Point,21.46174,-158.21248,True
Honolulu,Ala Moana/Kakaako,Primary Urban Center,Oahu,United States,US,Point,21.30094,-157.85062,True
Newtown,Newtown/Enmore,Sydney,Sydney,Australia,AU,Point,-33.89415,151.18704,True
New York,Chelsea,Chelsea,New York,United States,US,Point,40.75039,-74.00287,True
Princeville,Kauaʻi,North Shore Kauai,Kauai,United States,US,Point,22.21592,-159.46996,False
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.51542,-73.57114,True
Brooklyn,Williamsburg,Williamsburg,New York,United States,US,Point,40.70018,-73.9528,True
Porto,Porto,Aldoar,Porto,Portugal,PT,Point,41.15493,-8.67594,False
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.15725,-8.62317,True
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.14172,-8.61748,True
New York,East Village,East Village,New York,United States,US,Point,40.72822,-73.98639,True
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.53161,-73.57775,True
Montréal,Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,45.54224,-73.54717,False
istanbul,Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.02783,28.97558,False
Barcelona,Eixample,la Nova Esquerra de l'Eixample,Barcelona,Spain,ES,Point,41.37964,2.15484,True
Istanbul,Taksim,Sisli,Istanbul,Turkey,TR,Point,41.04315,28.98455,False
İstanbul,Cihangir,Beyoglu,Istanbul,Turkey,TR,Point,41.03408,28.98221,False
Carlingford,Sydney,The Hills Shire,Sydney,Australia,AU,Point,-33.77643,151.04264,True
Avalon Beach,Avalon,Pittwater,Sydney,Australia,AU,Point,-33.63278,151.33898,True
Porto,Porto,Bonfim,Porto,Portugal,PT,Point,41.16001,-8.59674,True
Besiktas,Beşiktaş,Besiktas,Istanbul,Turkey,TR,Point,41.04598,28.99932,False
shenzhen,Hong Kong,North,Hong Kong,China,CN,Point,22.5381,114.12309,False
Princeville,Kauaʻi,North Shore Kauai,Kauai,United States,US,Point,22.21751,-159.4837,False
New York,Manhattan,Midtown,New York,United States,US,Point,40.75245,-73.98442,True
Waverley,Waverly,Waverley,Sydney,Australia,AU,Point,-33.89824,151.25657,True
Bondi Beach,Bondi Beach,Waverley,Sydney,Australia,AU,Point,-33.88561,151.27301,True
Queens,Astoria,Long Island City,New York,United States,US,Point,40.76211,-73.92894,False
Honolulu,Honolulu,Primary Urban Center,Oahu,United States,US,Point,21.27229,-157.82145,True
Montréal,Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,45.55946,-73.54518,True
Randwick,Randwick,Randwick,Sydney,Australia,AU,Point,-33.9096,151.2503,True
Barcelona,Ciutat Vella,el Barri Gòtic,Barcelona,Spain,ES,Point,41.37914,2.17607,False
New York,Harlem,Harlem,New York,United States,US,Point,40.80156,-73.95128,True
Gaziosmanpaşa,Istanbul,Esenyurt,Istanbul,Turkey,TR,Point,41.02655,28.62613,False
Surry Hills,Surry Hills,Sydney,Sydney,Australia,AU,Point,-33.88421,151.21041,True
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,Point,-22.984820262121534,-43.1987408663964,True
Glebe,Glebe,Sydney,Sydney,Australia,AU,Point,-33.87513,151.18426,True
Mosman,Mosman,Mosman,Sydney,Australia,AU,Point,-33.82078,151.24583,True
Barcelona,Eixample,la Sagrada Família,Barcelona,Spain,ES,Point,41.40267,2.17199,True
Beacon Hill,Sydney,Warringah,Sydney,Australia,AU,Point,-33.75694,151.26562,False
New York,Chelsea,Chelsea,New York,United States,US,Point,40.75284,-74.00138,True
Kailua-Kona,Kailua/Kona,North Kona,The Big Island,United States,US,Point,19.57103,-155.96521,True
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.53359,-73.56749,False
Shueng Wan,Sheung Wan,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28561,114.15212,False
Bronx,Morrisania,Longwood,New York,United States,US,Point,40.82417,-73.90156,True
Kihei,Maui,Kihei-Makena,Maui,United States,US,Point,20.72575,-156.44638,True
Rockaway Beach,The Rockaways,Rockaway Beach,New York,United States,US,Point,40.58881,-73.81066,True
Mongkok,Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.32117,114.16785,False
Brooklyn,Williamsburg,Williamsburg,New York,United States,US,Point,40.71607,-73.95352,True
Kadıköy,Kadıköy,Kadikoy,Istanbul,Turkey,TR,Point,40.98978,29.03035,False
Brooklyn,Clinton Hill,Bedford-Stuyvesant,New York,United States,US,Point,40.69695,-73.95951,False
Beyoglu,Şişli,Sisli,Istanbul,Turkey,TR,Point,41.04559,28.97795,True
Montreal,La Petite-Patrie,Rosemont-La Petite-Patrie,Montreal,Canada,CA,Point,45.54601,-73.60524,True
Brooklyn ,Brooklyn,Crown Heights,New York,United States,US,Point,40.67346,-73.94038,False
Rose Bay,Rose Bay/Dover Heights,Waverley,Sydney,Australia,AU,Point,-33.86702,151.27779,True
Hong Kong,Kowloon City,Kowloon City,Hong Kong,Hong Kong,HK,Point,22.32847,114.18485,True
New York,Manhattan,Hell's Kitchen,New York,United States,US,Point,40.76704,-73.98345,True
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.970112700305062,-43.18822162768543,True
Coogee,Coogee,Randwick,Sydney,Australia,AU,Point,-33.92002,151.25046,True
Poipu,Kauaʻi,Koloa-Poipu,Kauai,United States,US,Point,21.87114,-159.44708,False
Barcelona,Dreta de l'Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.39658,2.16211,True
Hong Kong,Hong Kong,Sai Kung,Hong Kong,Hong Kong,HK,Point,22.35532,114.24814,False
Glebe,Glebe,Sydney,Sydney,Australia,AU,Point,-33.8766,151.18563,False
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.14195,-8.61844,True
New York,Midtown,Midtown,New York,United States,US,Point,40.76387,-73.98021,True
New York,Manhattan,Flatiron District,New York,United States,US,Point,40.73947,-73.98593,True
Arouca,Porto,Lobão,Porto,Portugal,PT,Point,40.97524,-8.41995,False
Kihei,Kihei/Wailea,Kihei-Makena,Maui,United States,US,Point,20.72346,-156.44725,True
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,Point,-22.979186033760865,-43.199271780650776,True
Hong Kong,Jordan,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.30657,114.16733,True
Montréal,Old Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.5049,-73.55801,True
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.15094,-8.61434,True
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.29676,114.17164,True
Brooklyn,Bedford-Stuyvesant,Bedford-Stuyvesant,New York,United States,US,Point,40.69588,-73.93944,True
Rio de Janeiro,Méier,Méier,Rio De Janeiro,Brazil,BR,Point,-22.90510560134033,-43.29146044688672,False
Barcelona,Vila de Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,Point,41.40076,2.16375,True
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52591,-73.57605,True
Hong Kong,Wan Chai District,Wan Chai,Hong Kong,Hong Kong,HK,Point,22.27796,114.18362,True
Montréal,La Petite-Patrie,Rosemont-La Petite-Patrie,Montreal,Canada,CA,Point,45.54161,-73.60697,True
Galata-Beyoğlu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.02819,28.97683,False
Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,Barcelona,Spain,ES,Point,41.38426,2.15958,True
Hong Kong,Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.31858,114.17131,True
Istanbul,Şişli,Sisli,Istanbul,Turkey,TR,Point,41.06243,28.98461,False
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.5256,-73.57858,False
Istanbul,Şişli,Kagithane,Istanbul,Turkey,TR,Point,41.07329,28.97601,True
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.38817,2.16612,True
New York,Lower East Side,Lower East Side,New York,United States,US,Point,40.72143,-73.98385,True
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,Point,-22.981942430356344,-43.19931834008216,True
Pahoa,Island of Hawaiʻi,Puna,The Big Island,United States,US,Point,19.39404,-154.93328,True
moda kadikoy,Moda,Kadikoy,Istanbul,Turkey,TR,Point,40.98431,29.02553,True
South Coogee,Randwick,Randwick,Sydney,Australia,AU,Point,-33.9279,151.24601,True
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.4,2.16502,True
Brooklyn,Carroll Gardens,Gowanus,New York,United States,US,Point,40.67705,-73.99607,True
Kihei,Maui,Kihei-Makena,Maui,United States,US,Point,20.75806,-156.45868,True
Waikoloa,Island of Hawaiʻi,South Kohala,The Big Island,United States,US,Point,19.91931,-155.88686,False
Honolulu,Waikiki,Primary Urban Center,Oahu,United States,US,Point,21.27864,-157.8256,True
Montréal,Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montreal,Canada,CA,Point,45.52759,-73.62043,True
İstanbul,Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.03683,28.97405,True
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.30903,114.17072,True
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.30442,114.162,True
Hong Kong,Hung Hom,Kowloon City,Hong Kong,Hong Kong,HK,Point,22.30536,114.18728,True
Queens,Queens,Ditmars Steinway,New York,United States,US,Point,40.77469,-73.90728,True
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,Point,21.28846,-157.79147,True
Porto,Porto,Bonfim,Porto,Portugal,PT,Point,41.15908,-8.5999,False
Mosman,Mosman,Mosman,Sydney,Australia,AU,Point,-33.82489,151.24366,True
Beyoglu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.03611,28.97295,False
Honokaa,Hamakua Coast,Hamakua,The Big Island,United States,US,Point,20.11835,-155.57305,True
New York,East Harlem,East Harlem,New York,United States,US,Point,40.79802,-73.94003,False
Brookvale,Sydney,Warringah,Sydney,Australia,AU,Point,-33.75869,151.27651,True
Bronx,Soundview,Soundview,New York,United States,US,Point,40.82939,-73.86514,True
Kailua-Kona,Island of Hawaiʻi,North Kona,The Big Island,United States,US,Point,19.63593,-155.99162,True
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,Point,41.07385,28.99683,False
Astoria,Queens,Astoria,New York,United States,US,Point,40.76615,-73.91325,True
Barcelona,Sants-Montjuïc,la Bordeta,Barcelona,Spain,ES,Point,41.37357,2.14039,False
Waikoloa Village,Island of Hawaiʻi,South Kohala,The Big Island,United States,US,Point,19.91602,-155.88047,False
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.29812,114.1715,False
Üsküdar,Üsküdar,Uskudar,Istanbul,Turkey,TR,Point,41.01205,29.01386,False
Honolulu,Honolulu,Primary Urban Center,Oahu,United States,US,Point,21.27631,-157.82454,True
Kihei,Kihei/Wailea,Kihei-Makena,Maui,United States,US,Point,20.7471,-156.45773,True
Palm Beach,Palm Beach,Pittwater,Sydney,Australia,AU,Point,-33.60064,151.32252,True
Barcelona,La Sagrada Família,la Sagrada Família,Barcelona,Spain,ES,Point,41.40735,2.17905,True
Istanbul,Sultanahmet,Fatih,Istanbul,Turkey,TR,Point,41.00369,28.97054,True
Fatih/Sultanahmet,Fatih,Fatih,Istanbul,Turkey,TR,Point,41.00308,28.98123,False
Brooklyn,Bedford-Stuyvesant,Bedford-Stuyvesant,New York,United States,US,Point,40.68121,-73.93038,True
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,Point,21.30861,-157.83414,True
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52994,-73.57699,True
Árvore,Porto,Árvore,Porto,Portugal,PT,Point,41.33118,-8.73747,True
Papaikou/Hilohilo ,Hilo,South Hilo,The Big Island,United States,US,Point,19.8003,-155.10389,False
New York,Manhattan,Upper East Side,New York,United States,US,Point,40.77613,-73.94872,True
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.40103,2.16676,True
Bondi Beach,Bondi Beach,Waverley,Sydney,Australia,AU,Point,-33.89345,151.27184,False
Waimanalo,Oʻahu,Koolaupoko,Oahu,United States,US,Point,21.33934,-157.69918,True
New York,Manhattan,East Village,New York,United States,US,Point,40.73345,-73.98956,True
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.982738721442143,-43.19556815835065,True
Barcelona,Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,Point,41.39898,2.15765,False
Waikoloa Village,Island of Hawaiʻi,South Kohala,The Big Island,United States,US,Point,19.91485,-155.87969,False
Kapaa,Kauaʻi,Kapaa-Wailua,Kauai,United States,US,Point,22.06207,-159.31904,True
Fairlight,Fairlight,Manly,Sydney,Australia,AU,Point,-33.79124,151.27616,True
Barcelona,El Poble-sec,el Poble Sec,Barcelona,Spain,ES,Point,41.37471,2.16183,False
Mascot,Mascot,Botany Bay,Sydney,Australia,AU,Point,-33.92427,151.1875,True
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.96539812985642,-43.17822730311397,True
Montreal,Little Burgundy,Le Sud-Ouest,Montreal,Canada,CA,Point,45.48749,-73.5739,True
New York,Harlem,Harlem,New York,United States,US,Point,40.82725,-73.9453,True
Princeville,Kauaʻi,North Shore Kauai,Kauai,United States,US,Point,22.22784,-159.4823,True
Hong Kong Island,Eastern District,Wan Chai,Hong Kong,Hong Kong,HK,Point,22.28266,114.19206,False
Rio de Janeiro,Botafogo,Botafogo,Rio De Janeiro,Brazil,BR,Point,-22.95052251259201,-43.19279186042643,True
Waverley,Waverly,Waverley,Sydney,Australia,AU,Point,-33.89823,151.25396,True
New York,Manhattan,Upper West Side,New York,United States,US,Point,40.78689,-73.97314,True
Kailua,Oʻahu,Koolaupoko,Oahu,United States,US,Point,21.40158,-157.7464,True
Bronx,The Bronx,Mount Eden,New York,United States,US,Point,40.84058,-73.91382,True
Haleiwa,North Shore,North Shore Oahu,Oahu,United States,US,Point,21.64974,-158.05936,True
Avalon Beach,Avalon,Pittwater,Sydney,Australia,AU,Point,-33.61943,151.33275,True
Kailua,Oʻahu,Koolaupoko,Oahu,United States,US,Point,21.40129,-157.74216,True
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.39909,2.17019,True
Barcelona,Sants-Montjuïc,el Poble Sec,Barcelona,Spain,ES,Point,41.37421,2.16447,True
Waikoloa Village,Island of Hawaiʻi,South Kohala,The Big Island,United States,US,Point,19.93311,-155.79154,True
New York,Chelsea,Chelsea,New York,United States,US,Point,40.7411,-74.00184,True
Paia,Maui,Paia-Haiku,Maui,United States,US,Point,20.91115,-156.37736,True
Barcelona,El Poble-sec,el Poble Sec,Barcelona,Spain,ES,Point,41.37482,2.15897,True
Kahuku,Windward Side,Koolauloa,Oahu,United States,US,Point,21.69298,-158.01657,True
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,Point,-22.985071907544643,-43.19568749147897,True
Kailua-Kona,Island of Hawaiʻi,North Kona,The Big Island,United States,US,Point,19.61764,-155.98418,True
İstanbul,Karaköy,Beyoglu,Istanbul,Turkey,TR,Point,41.02658,28.97389,False
New York,Manhattan,Financial District,New York,United States,US,Point,40.70838,-74.0088,True
Brooklyn ,Bedford-Stuyvesant,Bedford-Stuyvesant,New York,United States,US,Point,40.67754,-73.92373,False
Beyoğlu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.03922,28.95465,False
Kaanapali,Maui,Lahaina,Maui,United States,US,Point,20.94595,-156.68939,False
Montréal,Rosemont-La Petite-Patrie,Rosemont-La Petite-Patrie,Montreal,Canada,CA,Point,45.53657,-73.59893,True
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.29697,114.17426,False
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.1558,-8.60519,True
Princeville,Kauaʻi,North Shore Kauai,Kauai,United States,US,Point,22.22836,-159.48315,True
Barcelona,La Sagrada Família,la Sagrada Família,Barcelona,Spain,ES,Point,41.40542,2.17954,True
Brooklyn,Brooklyn,Fort Greene,New York,United States,US,Point,40.68601,-73.97813,True
Montréal,Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montreal,Canada,CA,Point,45.54432,-73.61702,True
Istanbul,Moda,Kadikoy,Istanbul,Turkey,TR,Point,40.987,29.02733,False
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.39767,2.17086,True
Montréal,Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.53421,-73.56897,True
Hāna,Hana,Hana,Maui,United States,US,Point,20.75688,-155.98991,True
Barcelona,Horta-Guinardó,el Guinardó,Barcelona,Spain,ES,Point,41.41507,2.17833,True
Waikoloa Beach Resort,Island of Hawaiʻi,South Kohala,The Big Island,United States,US,Point,19.91656,-155.87825,False
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,Point,-22.984064324510875,-43.208947252933214,True
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.966203750575392,-43.17888410382214,False
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,Point,41.06049,28.99434,False
Beyoğlu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.03036,28.98144,True
Brooklyn,Brooklyn,Flatbush,New York,United States,US,Point,40.65336,-73.95305,True
Kapaa,Kauaʻi,Kapaa-Wailua,Kauai,United States,US,Point,22.05253,-159.32769,False
Brooklyn,Brooklyn,Williamsburg,New York,United States,US,Point,40.71006,-73.95726,True
Istanbul,Fatih,Fatih,Istanbul,Turkey,TR,Point,41.00337,28.97716,False
New York,Midtown,Midtown,New York,United States,US,Point,40.75606,-73.97004,False
Waialua,North Shore,North Shore Oahu,Oahu,United States,US,Point,21.58261,-158.13783,True
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.3046,114.17198,True
Honolulu,Honolulu,Primary Urban Center,Oahu,United States,US,Point,21.28755,-157.83206,True
Annandale,Annandale/Leichhardt,Leichhardt,Sydney,Australia,AU,Point,-33.8809,151.16834,True
Freshwater,Manly,Warringah,Sydney,Australia,AU,Point,-33.77881,151.29339,True
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.98032332188258,-43.19298277926956,True
Kailua,Kailua,Koolaupoko,Oahu,United States,US,Point,21.39473,-157.71911,True
Barcelona,El Raval,el Raval,Barcelona,Spain,ES,Point,41.38494,2.16915,True
New York,Manhattan,West Village,New York,United States,US,Point,40.73746,-74.00686,False
Montréal,Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.50001,-73.57983,True
Hong Kong,Mid-Levels,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28296,114.15026,True
Montreal,Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,45.55639,-73.53937,True
Montréal,Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.52153,-73.55837,True
Lahaina,Kaanapali,Lahaina,Maui,United States,US,Point,20.93447,-156.68897,True
